Date,Close/Last,Volume,Open,High,Low
03/08/2021,73.135,N/A,73.35,73.386,73.08
03/07/2021,73.076,N/A,73.18,73.289,73.045
03/05/2021,73.19,N/A,72.733,73.218,72.739
03/04/2021,72.841,N/A,72.733,73.18,72.739
03/03/2021,72.889,N/A,72.93,73.109,72.85
03/02/2021,73.185,N/A,73.25,73.282,73.145
03/01/2021,73.345,N/A,73.396,73.532,73.317
02/28/2021,73.573,N/A,73.92,73.937,73.546
02/26/2021,73.937,N/A,72.736,74.06,72.745
02/25/2021,73.072,N/A,72.736,73.147,72.745
02/24/2021,72.365,N/A,72.38,72.412,72.282
02/23/2021,72.325,N/A,72.38,72.408,72.317
02/22/2021,72.347,N/A,72.44,72.465,72.328
02/21/2021,72.553,N/A,72.55,72.59,72.542
02/19/2021,72.555,N/A,72.58,72.733,72.418
02/18/2021,72.583,N/A,72.58,72.733,72.583
02/17/2021,72.75,N/A,72.815,72.837,72.731
02/16/2021,72.887,N/A,72.86,72.963,72.862
02/15/2021,72.665,N/A,72.618,72.678,72.605
02/14/2021,72.635,N/A,72.58,72.643,72.517
02/12/2021,72.595,N/A,72.70,72.83,72.56
02/11/2021,72.768,N/A,72.70,72.812,72.68
02/10/2021,72.795,N/A,72.79,72.844,72.788
02/09/2021,72.865,N/A,72.854,72.882,72.83
02/08/2021,72.873,N/A,72.93,72.951,72.83
02/07/2021,72.827,N/A,72.81,72.90,72.784
02/05/2021,72.82,N/A,72.95,73.031,72.775
02/04/2021,72.915,N/A,72.95,73.031,72.911
02/03/2021,72.924,N/A,72.81,72.978,72.815
02/02/2021,72.975,N/A,72.899,73.002,72.916
02/01/2021,73.035,N/A,73.11,73.12,73.005
01/31/2021,72.875,N/A,72.877,72.927,72.854
01/29/2021,72.935,N/A,72.931,73.035,72.814
01/28/2021,72.975,N/A,72.931,73.035,72.92
01/27/2021,73.139,N/A,73.06,73.163,73.014
01/26/2021,72.887,N/A,72.91,72.997,72.844
01/25/2021,73.031,N/A,72.96,73.031,72.912
01/24/2021,72.935,N/A,72.98,73.017,72.907
01/22/2021,72.985,N/A,72.96,73.106,72.925
01/21/2021,73.025,N/A,72.96,73.037,72.955
01/20/2021,72.96,N/A,72.91,73.007,72.896
01/19/2021,73.106,N/A,73.19,73.192,73.098
01/18/2021,73.155,N/A,73.181,73.197,73.123
01/17/2021,73.237,N/A,73.12,73.256,73.13
01/15/2021,73.13,N/A,73.07,73.21,72.99
01/14/2021,73.012,N/A,73.07,73.125,73.007
01/13/2021,73.132,N/A,73.16,73.237,73.105
01/12/2021,73.142,N/A,73.22,73.225,73.118
01/11/2021,73.435,N/A,73.456,73.494,73.382
01/10/2021,73.418,N/A,73.33,73.493,73.34
01/08/2021,73.34,N/A,73.42,73.507,73.203
01/07/2021,73.35,N/A,73.42,73.507,73.35
01/06/2021,73.108,N/A,73.118,73.175,73.065
01/05/2021,73.135,N/A,73.12,73.213,73.125
01/04/2021,73.135,N/A,73.07,73.177,72.981
01/03/2021,72.91,N/A,73.12,73.115,72.841
01/01/2021,73.0944,N/A,73.0944,73.32,73.022
12/31/2020,73.075,N/A,73.036,73.115,73.054
12/30/2020,73.118,N/A,73.127,73.243,73.115
12/29/2020,73.303,N/A,73.39,73.405,73.284
12/28/2020,73.40,N/A,73.546,73.548,73.388
12/27/2020,73.525,N/A,73.556,73.558,73.505
12/24/2020,73.558,N/A,73.54,73.558,73.555
12/23/2020,73.635,N/A,73.77,73.84,73.62
12/22/2020,73.852,N/A,73.851,73.905,73.84
12/21/2020,73.875,N/A,74.026,74.028,73.875
12/20/2020,73.675,N/A,73.57,73.755,73.575
12/18/2020,73.575,N/A,73.52,73.585,73.478
12/17/2020,73.545,N/A,73.52,73.567,73.515
12/16/2020,73.502,N/A,73.63,73.64,73.495
12/15/2020,73.515,N/A,73.556,73.567,73.46
12/14/2020,73.619,N/A,73.63,73.674,73.594
12/13/2020,73.60,N/A,73.736,73.738,73.573
12/11/2020,73.738,N/A,73.74,73.817,73.534
12/10/2020,73.637,N/A,73.74,73.745,73.629
12/09/2020,73.648,N/A,73.72,73.76,73.644
12/08/2020,73.592,N/A,73.72,73.725,73.532
12/07/2020,73.805,N/A,73.76,73.847,73.796
12/06/2020,73.745,N/A,73.757,73.805,73.706
12/04/2020,73.776,N/A,73.86,73.87,73.653
12/03/2020,73.765,N/A,73.86,73.87,73.765
12/02/2020,73.805,N/A,73.76,73.885,73.695
12/01/2020,73.501,N/A,73.482,73.555,73.402
11/30/2020,73.812,N/A,73.99,74.025,73.805
11/29/2020,73.97,N/A,73.933,74.002,73.915
11/27/2020,73.935,N/A,73.832,74.111,73.742
11/26/2020,73.772,N/A,73.832,73.837,73.769
11/25/2020,73.843,N/A,73.769,73.86,73.765
11/24/2020,73.985,N/A,74.078,74.079,73.949
11/23/2020,73.905,N/A,74.25,74.26,73.905
11/22/2020,74.15,N/A,74.11,74.175,74.062
11/20/2020,74.12,N/A,74.10,74.207,74.058
11/19/2020,74.165,N/A,74.10,74.185,74.11
11/18/2020,74.273,N/A,74.11,74.33,74.12
11/17/2020,74.493,N/A,74.47,74.525,74.44
11/16/2020,74.39,N/A,74.37,74.455,74.345
11/15/2020,74.525,N/A,74.561,74.59,74.46
11/13/2020,74.583,N/A,74.68,74.725,74.47
11/12/2020,74.647,N/A,74.68,74.685,74.615
11/11/2020,74.377,N/A,74.439,74.485,74.368
11/10/2020,74.252,N/A,74.28,74.29,74.169
11/09/2020,74.079,N/A,74.03,74.115,73.948
11/08/2020,73.906,N/A,73.974,73.995,73.852
11/06/2020,73.976,N/A,73.91,74.28,73.86
11/05/2020,73.888,N/A,73.91,74.035,73.888
11/04/2020,74.32,N/A,74.365,74.373,74.207
11/03/2020,74.719,N/A,74.61,74.934,74.598
11/02/2020,74.28,N/A,74.50,74.51,74.252
11/01/2020,74.412,N/A,74.554,74.567,74.355
10/30/2020,74.567,N/A,74.37,74.703,74.24
10/29/2020,74.252,N/A,74.37,74.38,74.248
10/28/2020,74.085,N/A,74.18,74.23,74.05
10/27/2020,73.732,N/A,73.622,73.735,73.624
10/26/2020,73.943,N/A,73.96,74.02,73.93
10/25/2020,73.787,N/A,73.829,73.842,73.752
10/23/2020,73.842,N/A,73.66,73.888,73.475
10/22/2020,73.67,N/A,73.67,73.67,73.67
10/21/2020,73.708,N/A,73.59,73.748,73.60
10/20/2020,73.417,N/A,73.44,73.45,73.415
10/19/2020,73.353,N/A,73.35,73.40,73.336
10/18/2020,73.387,N/A,73.442,73.444,73.368
10/16/2020,73.444,N/A,73.42,73.45,73.267
10/15/2020,73.392,N/A,73.42,73.435,73.392
10/14/2020,73.327,N/A,73.24,73.347,73.255
10/13/2020,73.387,N/A,73.40,73.41,73.358
10/12/2020,73.37,N/A,73.363,73.382,73.31
10/11/2020,73.015,N/A,73.01,73.015,73.015
10/09/2020,73.02,N/A,73.29,73.30,72.981
10/08/2020,73.30,N/A,73.30,73.30,73.30
10/07/2020,73.366,N/A,73.33,73.38,73.33
10/06/2020,73.547,N/A,73.434,73.60,73.441
10/05/2020,73.203,N/A,73.11,73.203,73.093
10/04/2020,73.295,N/A,73.29,73.295,73.295
10/02/2020,73.295,N/A,73.193,73.447,73.218
10/01/2020,73.239,N/A,73.193,73.239,73.218
09/30/2020,73.57,N/A,73.57,73.57,73.57
